ASVs	Domain	Phylum	Class	Order	Family	Genus	Species
01c3b39c2ddf0dbd22d7bcec6c0f0d4a	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured	
01e8746714833954883a0f504ff4d50d	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured_bacterium	
0195255ccd1f8d41df754e41220a9e53	Bacteria	Chloroflexi	Anaerolineae	SBR1031	uncultured_bacterium		
01aade28f89da42cd412e02491addcf7	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae		
020afa58624a1f9dc01e75203640b481	Bacteria	Patescibacteria	Parcubacteria				
01edebc0682340af14d4da84cea21a93	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
01cee90a2b45b56015ca154e4487ed08	Bacteria	Actinobacteriota	MB_A2_108	uncultured_bacterium			
01f28fd48a7d7b7a17cb3e2a9ae954a9	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
01dc89238d8b121cc95a4e0d68a2b72e	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured			
01fc4e4fe5c36666e342ca121b53f739	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	uncultured_bacterium
01e314d7c8bd948c3bc22f682fb05a9c	Bacteria	Proteobacteria	Alphaproteobacteria				
01e644dff0132ab009440c0cab4edeba	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	
01c63927237eabefd71cfaf1d2c92742	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
01ca86cf75e5e3b46500dba0e60b0f20	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured		
02176a994e3c931b7b9fa5e4edf10f6f	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	
021a076e60e11a07d503b5cb6ff883c9	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
01d25afaa25377250e9a8f7a2f9a4f61	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae		
01b2e732833e9b32ed3bb3497759bc96	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geotalea	
0203551693a872d37bc6c20d0306bea3	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	uncultured_bacterium		
01fe148c848cd0a141fb78524c904944	Bacteria	Myxococcota	Polyangia	mle1_27			
021ccb4b19d4639e67acbc70aa5d1bd9	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	uncultured_bacterium		
0202e8abc09d465b12645fae3ba40b6d	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17			
02226f6a9cc030c30e93b4b53c2e682c	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	uncultured_bacterium
01f4748988d474b97328bd0bdcfb8091	Bacteria	Chloroflexi	KD4_96	uncultured_bacterium			
01f870fe0c47f535517a5ae876b1bef5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	
022ae9c3bf01b82b78b69e7ca2f2b8ff	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37_13		
